MLS_ID,Property_Type,Price,Bedrooms,Bathrooms,City,Postal_Code,Features,Status,Date_Listed,Address
100000,Condo,559998,1,2,Mississauga,L8P 1A1,"Modern Kitchen, Garage, Fireplace",Sold,2025-06-12,919 Sample Street
100001,Condo,987718,2,4,Ottawa,L8P 1A1,"Backyard, Fireplace",Sold,2025-06-09,739 Sample Street
100002,Condo,1094085,3,1,Mississauga,L8P 1A1,"Pool, Garage, Hardwood, Finished Basement",Active,2025-06-12,610 Sample Street
100003,Townhouse,1178337,5,2,Mississauga,L6T 1R2,"Fireplace, Modern Kitchen",Sold,2025-06-03,539 Sample Street
100004,Detached,767725,1,2,Toronto,L6T 1R2,"Modern Kitchen, Deck",Active,2025-06-09,238 Sample Street
100005,Semi-Detached,1420858,3,4,Mississauga,K1A 0B1,"Deck, Fireplace",Active,2025-06-09,347 Sample Street
100006,Semi-Detached,740055,1,1,Ottawa,L6T 1R2,"Finished Basement, Modern Kitchen",Active,2025-06-07,288 Sample Street
100007,Semi-Detached,984940,5,4,Mississauga,L6T 1R2,"Deck, Garage, Pool",Active,2025-06-11,965 Sample Street
100008,Townhouse,1184160,1,2,Mississauga,K1A 0B1,"Modern Kitchen, Fireplace, Pool",Active,2025-06-01,887 Sample Street
100009,Semi-Detached,857907,2,4,Brampton,L5B 3Y3,"Modern Kitchen, Pool",Active,2025-06-02,590 Sample Street
100010,Semi-Detached,1185986,5,3,Toronto,L6T 1R2,"Pool, Fireplace, Modern Kitchen",Sold,2025-06-18,297 Sample Street
100011,Condo,898245,3,2,Ottawa,L6T 1R2,"Finished Basement, Deck, Modern Kitchen, Garage",Active,2025-06-14,898 Sample Street
100012,Condo,1448019,4,2,Mississauga,L5B 3Y3,"Modern Kitchen, Deck, Backyard",Active,2025-06-03,476 Sample Street
100013,Condo,520204,4,2,Mississauga,L6T 1R2,"Modern Kitchen, Deck, Finished Basement",Pending,2025-06-03,739 Sample Street
100014,Townhouse,707203,3,1,Mississauga,K1A 0B1,"Fireplace, Deck, Finished Basement",Sold,2025-06-15,375 Sample Street
100015,Detached,834720,3,4,Brampton,L6T 1R2,"Pool, Fireplace, Backyard",Sold,2025-06-05,838 Sample Street
100016,Detached,1053213,3,4,Toronto,L5B 3Y3,"Hardwood, Pool, Modern Kitchen",Pending,2025-06-12,216 Sample Street
100017,Condo,427734,3,1,Ottawa,L6T 1R2,"Pool, Backyard",Sold,2025-06-14,752 Sample Street
100018,Semi-Detached,1251364,5,1,Ottawa,K1A 0B1,"Modern Kitchen, Fireplace, Hardwood, Finished Basement",Active,2025-06-01,497 Sample Street
100019,Condo,1427189,5,2,Toronto,L5B 3Y3,"Hardwood, Modern Kitchen",Sold,2025-06-07,146 Sample Street
100020,Condo,433669,2,1,Ottawa,L6T 1R2,"Backyard, Deck, Modern Kitchen",Pending,2025-06-09,640 Sample Street
100021,Townhouse,1283011,1,1,Hamilton,L5B 3Y3,"Backyard, Deck",Active,2025-06-16,924 Sample Street
100022,Townhouse,1313064,4,3,Mississauga,M5H 2N2,"Modern Kitchen, Pool, Garage, Hardwood",Pending,2025-06-06,601 Sample Street
100023,Semi-Detached,1320389,5,1,Mississauga,L6T 1R2,"Deck, Pool",Active,2025-06-10,670 Sample Street
100024,Townhouse,771414,4,3,Toronto,L6T 1R2,"Finished Basement, Hardwood, Backyard",Sold,2025-06-06,711 Sample Street
100025,Townhouse,1289859,2,4,Mississauga,L5B 3Y3,"Finished Basement, Hardwood, Fireplace",Active,2025-06-04,346 Sample Street
100026,Condo,1410584,5,2,Ottawa,L8P 1A1,"Finished Basement, Deck",Pending,2025-06-17,971 Sample Street
100027,Condo,988015,2,1,Brampton,L5B 3Y3,"Pool, Modern Kitchen, Fireplace, Hardwood",Pending,2025-06-07,928 Sample Street
100028,Semi-Detached,1215628,3,4,Ottawa,L6T 1R2,"Fireplace, Deck, Pool, Garage",Active,2025-06-08,754 Sample Street
100029,Townhouse,1345531,5,3,Brampton,L6T 1R2,"Modern Kitchen, Finished Basement, Hardwood",Active,2025-06-16,752 Sample Street
100030,Semi-Detached,551293,5,1,Mississauga,L5B 3Y3,"Pool, Backyard, Finished Basement",Sold,2025-06-09,941 Sample Street
100031,Detached,1260368,2,2,Ottawa,M5H 2N2,"Finished Basement, Garage, Deck, Pool",Active,2025-06-03,802 Sample Street
100032,Condo,938017,3,2,Toronto,L5B 3Y3,"Garage, Modern Kitchen, Fireplace, Pool",Pending,2025-06-16,672 Sample Street
100033,Townhouse,1245933,3,3,Hamilton,M5H 2N2,"Modern Kitchen, Finished Basement, Fireplace, Hardwood",Sold,2025-06-01,709 Sample Street
100034,Condo,1338720,4,3,Mississauga,M5H 2N2,"Garage, Deck, Fireplace, Finished Basement",Pending,2025-06-16,222 Sample Street
100035,Townhouse,826583,2,4,Hamilton,L6T 1R2,"Finished Basement, Backyard, Deck",Pending,2025-06-06,763 Sample Street
100036,Detached,1191135,4,2,Hamilton,L6T 1R2,"Modern Kitchen, Fireplace, Hardwood",Sold,2025-06-02,895 Sample Street
100037,Semi-Detached,715821,2,1,Hamilton,L5B 3Y3,"Backyard, Deck, Fireplace",Active,2025-06-08,825 Sample Street
100038,Semi-Detached,384368,3,2,Hamilton,M5H 2N2,"Garage, Hardwood, Fireplace, Pool",Sold,2025-06-18,367 Sample Street
100039,Condo,627759,2,1,Mississauga,L8P 1A1,"Pool, Garage, Finished Basement, Fireplace",Pending,2025-06-18,585 Sample Street
100040,Semi-Detached,864275,1,4,Hamilton,M5H 2N2,"Hardwood, Fireplace",Pending,2025-06-14,248 Sample Street
100041,Detached,1417000,3,4,Brampton,M5H 2N2,"Garage, Deck",Active,2025-06-04,376 Sample Street
100042,Semi-Detached,1047433,4,4,Ottawa,L5B 3Y3,"Backyard, Pool, Finished Basement, Garage",Pending,2025-06-12,329 Sample Street
100043,Semi-Detached,806319,4,2,Ottawa,L8P 1A1,"Pool, Garage, Fireplace",Active,2025-06-09,238 Sample Street
100044,Semi-Detached,659489,3,2,Mississauga,M5H 2N2,"Modern Kitchen, Pool",Pending,2025-06-02,245 Sample Street
100045,Semi-Detached,578462,5,4,Hamilton,L8P 1A1,"Backyard, Fireplace, Finished Basement",Active,2025-06-11,450 Sample Street
100046,Townhouse,360754,2,2,Mississauga,K1A 0B1,"Modern Kitchen, Fireplace, Pool",Sold,2025-06-04,842 Sample Street
100047,Townhouse,545586,4,3,Ottawa,L5B 3Y3,"Hardwood, Pool, Fireplace",Pending,2025-06-03,618 Sample Street
100048,Townhouse,1379707,2,3,Hamilton,L8P 1A1,"Pool, Backyard, Fireplace",Active,2025-06-03,480 Sample Street
100049,Semi-Detached,1006979,3,4,Mississauga,K1A 0B1,"Backyard, Pool, Hardwood, Finished Basement",Active,2025-06-02,263 Sample Street
100050,Semi-Detached,535560,2,2,Brampton,L5B 3Y3,"Backyard, Deck, Pool",Active,2025-06-07,744 Sample Street
100051,Condo,1255055,5,1,Mississauga,L5B 3Y3,"Fireplace, Hardwood, Deck",Active,2025-06-10,559 Sample Street
100052,Detached,806295,5,4,Ottawa,K1A 0B1,"Finished Basement, Garage, Modern Kitchen",Active,2025-06-10,363 Sample Street
100053,Detached,1170711,2,4,Hamilton,L6T 1R2,"Finished Basement, Backyard, Modern Kitchen",Active,2025-06-12,926 Sample Street
100054,Condo,1270523,5,1,Mississauga,M5H 2N2,"Modern Kitchen, Fireplace, Garage, Pool",Sold,2025-06-17,102 Sample Street
100055,Semi-Detached,721674,5,3,Brampton,K1A 0B1,"Hardwood, Fireplace, Backyard, Modern Kitchen",Active,2025-06-01,500 Sample Street
100056,Semi-Detached,578495,5,1,Ottawa,K1A 0B1,"Modern Kitchen, Backyard, Fireplace, Hardwood",Pending,2025-06-02,459 Sample Street
100057,Semi-Detached,754309,3,1,Ottawa,L5B 3Y3,"Modern Kitchen, Finished Basement, Hardwood, Garage",Sold,2025-06-15,915 Sample Street
100058,Semi-Detached,1464771,5,3,Mississauga,K1A 0B1,"Pool, Backyard",Sold,2025-06-18,961 Sample Street
100059,Detached,1282300,4,1,Hamilton,M5H 2N2,"Deck, Finished Basement",Active,2025-06-13,511 Sample Street
100060,Semi-Detached,851548,4,1,Brampton,L8P 1A1,"Backyard, Deck, Hardwood",Sold,2025-06-16,537 Sample Street
100061,Detached,879685,3,1,Toronto,L8P 1A1,"Backyard, Finished Basement, Garage",Pending,2025-06-01,652 Sample Street
100062,Condo,1137193,5,4,Brampton,L8P 1A1,"Fireplace, Garage",Pending,2025-06-08,749 Sample Street
100063,Condo,1437052,4,4,Toronto,K1A 0B1,"Garage, Hardwood, Backyard",Pending,2025-06-04,525 Sample Street
100064,Condo,619518,4,4,Toronto,K1A 0B1,"Pool, Modern Kitchen, Fireplace, Deck",Sold,2025-06-12,588 Sample Street
100065,Semi-Detached,721602,3,4,Brampton,L6T 1R2,"Deck, Garage",Sold,2025-06-05,528 Sample Street
100066,Townhouse,1082084,5,4,Mississauga,M5H 2N2,"Backyard, Pool, Deck",Active,2025-06-02,869 Sample Street
100067,Townhouse,888226,2,4,Mississauga,L5B 3Y3,"Hardwood, Deck",Sold,2025-06-06,303 Sample Street
100068,Semi-Detached,1188367,3,3,Ottawa,L6T 1R2,"Fireplace, Backyard, Hardwood, Deck",Active,2025-06-13,622 Sample Street
100069,Townhouse,1260295,1,3,Ottawa,L6T 1R2,"Deck, Pool, Fireplace, Finished Basement",Active,2025-06-08,668 Sample Street
100070,Condo,721494,2,4,Hamilton,M5H 2N2,"Deck, Pool",Active,2025-06-17,132 Sample Street
100071,Townhouse,1444314,1,1,Ottawa,K1A 0B1,"Finished Basement, Pool, Garage",Sold,2025-06-08,566 Sample Street
100072,Condo,465117,1,3,Brampton,K1A 0B1,"Backyard, Deck",Sold,2025-06-04,634 Sample Street
100073,Townhouse,439201,1,4,Ottawa,L5B 3Y3,"Finished Basement, Garage, Pool, Backyard",Active,2025-06-07,497 Sample Street
100074,Condo,420632,3,1,Hamilton,L8P 1A1,"Finished Basement, Deck, Garage",Pending,2025-06-09,363 Sample Street
100075,Detached,471083,1,3,Brampton,K1A 0B1,"Deck, Hardwood",Sold,2025-06-10,751 Sample Street
100076,Detached,824191,4,3,Mississauga,M5H 2N2,"Modern Kitchen, Pool",Active,2025-06-09,466 Sample Street
100077,Semi-Detached,1070993,3,2,Brampton,L5B 3Y3,"Finished Basement, Garage, Pool, Backyard",Sold,2025-06-02,489 Sample Street
100078,Townhouse,1329086,5,2,Brampton,L5B 3Y3,"Pool, Hardwood",Pending,2025-06-11,899 Sample Street
100079,Semi-Detached,970889,1,4,Ottawa,L6T 1R2,"Hardwood, Pool, Fireplace",Pending,2025-06-17,408 Sample Street
100080,Semi-Detached,1076571,1,2,Hamilton,L5B 3Y3,"Modern Kitchen, Pool, Garage, Hardwood",Active,2025-06-02,388 Sample Street
100081,Semi-Detached,1441713,5,2,Hamilton,L6T 1R2,"Fireplace, Finished Basement",Sold,2025-06-02,615 Sample Street
100082,Detached,905182,4,3,Mississauga,L6T 1R2,"Modern Kitchen, Garage, Hardwood",Sold,2025-06-14,538 Sample Street
100083,Semi-Detached,1468213,4,2,Ottawa,L5B 3Y3,"Garage, Pool, Hardwood, Modern Kitchen",Pending,2025-06-10,425 Sample Street
100084,Semi-Detached,921612,3,4,Ottawa,L5B 3Y3,"Hardwood, Modern Kitchen, Finished Basement",Sold,2025-06-06,988 Sample Street
100085,Detached,1308028,2,1,Mississauga,L5B 3Y3,"Pool, Deck, Garage, Backyard",Active,2025-06-18,701 Sample Street
100086,Townhouse,446784,3,2,Mississauga,L6T 1R2,"Garage, Modern Kitchen",Pending,2025-06-09,731 Sample Street
100087,Detached,1369518,4,3,Ottawa,L5B 3Y3,"Finished Basement, Deck, Modern Kitchen, Pool",Sold,2025-06-17,453 Sample Street
100088,Condo,373375,1,3,Hamilton,M5H 2N2,"Garage, Fireplace",Sold,2025-06-10,993 Sample Street
100089,Condo,1047945,2,1,Mississauga,M5H 2N2,"Hardwood, Fireplace, Backyard, Pool",Active,2025-06-12,179 Sample Street
100090,Townhouse,652526,4,2,Brampton,L5B 3Y3,"Pool, Backyard, Modern Kitchen, Finished Basement",Sold,2025-06-04,821 Sample Street
100091,Detached,1329383,4,3,Mississauga,K1A 0B1,"Deck, Hardwood",Active,2025-06-07,144 Sample Street
100092,Townhouse,1236054,2,1,Toronto,L5B 3Y3,"Pool, Hardwood, Deck",Pending,2025-06-09,568 Sample Street
100093,Condo,951287,3,1,Hamilton,L6T 1R2,"Finished Basement, Garage, Pool",Sold,2025-06-13,775 Sample Street
100094,Townhouse,491403,1,1,Mississauga,K1A 0B1,"Pool, Backyard",Active,2025-06-10,368 Sample Street
100095,Semi-Detached,949403,1,3,Brampton,L8P 1A1,"Deck, Garage, Pool",Sold,2025-06-06,320 Sample Street
100096,Townhouse,1119166,3,1,Hamilton,L8P 1A1,"Pool, Finished Basement, Backyard",Pending,2025-06-04,276 Sample Street
100097,Condo,779254,4,3,Mississauga,M5H 2N2,"Garage, Hardwood",Active,2025-06-03,424 Sample Street
100098,Condo,1427239,3,1,Hamilton,M5H 2N2,"Pool, Modern Kitchen",Sold,2025-06-07,430 Sample Street
100099,Detached,1261535,1,1,Hamilton,L5B 3Y3,"Finished Basement, Modern Kitchen, Deck, Pool",Pending,2025-06-10,226 Sample Street
100100,Semi-Detached,900549,3,4,Mississauga,L6T 1R2,"Deck, Garage, Modern Kitchen",Sold,2025-06-13,702 Sample Street
100101,Townhouse,830263,4,4,Toronto,K1A 0B1,"Modern Kitchen, Hardwood",Pending,2025-06-15,460 Sample Street
100102,Condo,525786,4,3,Toronto,L5B 3Y3,"Backyard, Finished Basement",Sold,2025-06-11,513 Sample Street
100103,Townhouse,761628,1,1,Brampton,K1A 0B1,"Deck, Backyard, Fireplace",Active,2025-06-15,479 Sample Street
100104,Townhouse,812495,5,4,Ottawa,L5B 3Y3,"Modern Kitchen, Backyard, Finished Basement, Pool",Pending,2025-06-08,900 Sample Street
100105,Condo,1096492,1,3,Ottawa,K1A 0B1,"Pool, Modern Kitchen",Active,2025-06-01,480 Sample Street
100106,Semi-Detached,1314323,5,2,Ottawa,L8P 1A1,"Finished Basement, Pool, Hardwood",Active,2025-06-06,681 Sample Street
100107,Townhouse,1254954,2,2,Mississauga,L8P 1A1,"Deck, Hardwood, Modern Kitchen",Active,2025-06-13,406 Sample Street
100108,Condo,1110089,5,3,Mississauga,K1A 0B1,"Backyard, Finished Basement, Modern Kitchen",Sold,2025-06-02,122 Sample Street
100109,Condo,818003,1,3,Ottawa,L6T 1R2,"Deck, Pool",Sold,2025-06-10,260 Sample Street
100110,Condo,656419,1,4,Hamilton,L5B 3Y3,"Hardwood, Garage",Active,2025-06-18,751 Sample Street
100111,Townhouse,500739,2,4,Ottawa,K1A 0B1,"Deck, Garage, Hardwood",Pending,2025-06-04,809 Sample Street
100112,Semi-Detached,971973,3,4,Ottawa,L6T 1R2,"Deck, Garage, Hardwood",Active,2025-06-04,962 Sample Street
100113,Condo,995967,4,2,Ottawa,M5H 2N2,"Fireplace, Finished Basement",Sold,2025-06-05,424 Sample Street
100114,Condo,961685,2,2,Ottawa,L5B 3Y3,"Garage, Hardwood, Pool",Active,2025-06-16,921 Sample Street
100115,Condo,1461704,3,2,Toronto,K1A 0B1,"Finished Basement, Pool, Backyard",Pending,2025-06-15,543 Sample Street
100116,Semi-Detached,1200822,3,1,Brampton,L6T 1R2,"Modern Kitchen, Fireplace, Garage",Active,2025-06-10,640 Sample Street
100117,Detached,1052004,2,4,Toronto,K1A 0B1,"Pool, Hardwood",Pending,2025-06-08,681 Sample Street
100118,Semi-Detached,1049185,4,1,Toronto,L6T 1R2,"Backyard, Modern Kitchen, Hardwood",Sold,2025-06-12,763 Sample Street
100119,Detached,515984,2,2,Mississauga,L8P 1A1,"Garage, Deck",Pending,2025-06-04,135 Sample Street
100120,Townhouse,1273693,3,2,Toronto,L5B 3Y3,"Hardwood, Finished Basement, Backyard, Garage",Sold,2025-06-02,685 Sample Street
100121,Semi-Detached,1109498,1,4,Mississauga,L8P 1A1,"Deck, Backyard, Finished Basement, Hardwood",Sold,2025-06-02,501 Sample Street
100122,Condo,710759,1,1,Hamilton,L8P 1A1,"Deck, Finished Basement",Active,2025-06-08,165 Sample Street
100123,Townhouse,360428,2,4,Brampton,L5B 3Y3,"Backyard, Deck",Pending,2025-06-16,982 Sample Street
100124,Condo,1468941,4,2,Toronto,K1A 0B1,"Fireplace, Deck",Active,2025-06-03,803 Sample Street
100125,Detached,628238,3,4,Toronto,L8P 1A1,"Deck, Modern Kitchen",Pending,2025-06-14,984 Sample Street
100126,Townhouse,543989,3,4,Hamilton,K1A 0B1,"Deck, Finished Basement, Pool, Modern Kitchen",Active,2025-06-11,513 Sample Street
100127,Semi-Detached,1153218,5,1,Brampton,L6T 1R2,"Backyard, Pool, Hardwood",Active,2025-06-10,877 Sample Street
100128,Detached,1215770,2,2,Toronto,L5B 3Y3,"Fireplace, Deck",Sold,2025-06-17,712 Sample Street
100129,Condo,1083533,4,1,Mississauga,L5B 3Y3,"Backyard, Fireplace, Deck",Pending,2025-06-04,990 Sample Street
100130,Townhouse,465575,5,1,Brampton,K1A 0B1,"Deck, Pool, Backyard",Active,2025-06-17,411 Sample Street
100131,Detached,1350986,5,1,Toronto,M5H 2N2,"Pool, Garage",Pending,2025-06-08,138 Sample Street
100132,Condo,1337840,3,4,Toronto,L8P 1A1,"Modern Kitchen, Hardwood, Fireplace",Sold,2025-06-12,870 Sample Street
100133,Detached,634992,3,3,Hamilton,M5H 2N2,"Deck, Backyard, Garage",Active,2025-06-14,488 Sample Street
100134,Semi-Detached,1273403,3,2,Mississauga,M5H 2N2,"Deck, Hardwood, Garage",Pending,2025-06-04,654 Sample Street
100135,Condo,1262550,1,4,Hamilton,L6T 1R2,"Finished Basement, Deck, Fireplace",Pending,2025-06-06,213 Sample Street
100136,Condo,1302927,3,1,Mississauga,K1A 0B1,"Modern Kitchen, Backyard, Garage",Sold,2025-06-09,148 Sample Street
100137,Townhouse,533006,5,1,Hamilton,K1A 0B1,"Pool, Finished Basement",Pending,2025-06-16,439 Sample Street
100138,Townhouse,1310121,1,3,Mississauga,L6T 1R2,"Hardwood, Garage",Active,2025-06-08,992 Sample Street
100139,Condo,418769,1,2,Toronto,M5H 2N2,"Finished Basement, Garage, Hardwood",Pending,2025-06-12,271 Sample Street
100140,Detached,378654,5,4,Toronto,K1A 0B1,"Hardwood, Backyard, Pool, Fireplace",Active,2025-06-06,358 Sample Street
100141,Townhouse,1030201,5,2,Ottawa,L5B 3Y3,"Backyard, Deck, Modern Kitchen",Sold,2025-06-12,713 Sample Street
100142,Detached,848448,4,4,Brampton,L5B 3Y3,"Hardwood, Pool, Garage, Finished Basement",Active,2025-06-12,491 Sample Street
100143,Townhouse,1404394,2,3,Ottawa,M5H 2N2,"Deck, Garage, Fireplace, Pool",Sold,2025-06-05,827 Sample Street
100144,Detached,640834,3,4,Hamilton,M5H 2N2,"Backyard, Fireplace, Garage",Active,2025-06-11,936 Sample Street
100145,Semi-Detached,1407825,1,1,Ottawa,L5B 3Y3,"Pool, Fireplace",Sold,2025-06-05,159 Sample Street
100146,Detached,459557,3,2,Brampton,L6T 1R2,"Deck, Pool, Backyard, Hardwood",Active,2025-06-16,620 Sample Street
100147,Semi-Detached,653356,3,3,Hamilton,L8P 1A1,"Hardwood, Backyard, Fireplace",Sold,2025-06-17,691 Sample Street
100148,Detached,1228119,3,1,Toronto,L8P 1A1,"Backyard, Hardwood, Deck",Sold,2025-06-16,962 Sample Street
100149,Townhouse,479271,4,2,Toronto,L8P 1A1,"Fireplace, Pool, Hardwood, Finished Basement",Sold,2025-06-15,370 Sample Street
100150,Condo,1197121,2,4,Brampton,L8P 1A1,"Garage, Pool, Modern Kitchen, Fireplace",Pending,2025-06-11,861 Sample Street
100151,Detached,1259417,4,2,Brampton,L8P 1A1,"Hardwood, Garage, Modern Kitchen",Sold,2025-06-15,763 Sample Street
100152,Detached,1023647,3,1,Brampton,L8P 1A1,"Backyard, Fireplace",Active,2025-06-14,782 Sample Street
100153,Townhouse,1199474,1,1,Hamilton,L8P 1A1,"Fireplace, Backyard",Active,2025-06-16,973 Sample Street
100154,Detached,1490060,3,3,Brampton,L5B 3Y3,"Deck, Garage, Pool, Backyard",Pending,2025-06-15,537 Sample Street
100155,Semi-Detached,433650,2,1,Toronto,M5H 2N2,"Garage, Finished Basement",Pending,2025-06-17,590 Sample Street
100156,Detached,1403864,5,4,Toronto,K1A 0B1,"Hardwood, Garage",Sold,2025-06-01,134 Sample Street
100157,Semi-Detached,767764,4,2,Brampton,M5H 2N2,"Pool, Garage, Modern Kitchen, Fireplace",Pending,2025-06-10,181 Sample Street
100158,Townhouse,355535,2,2,Toronto,K1A 0B1,"Backyard, Garage, Finished Basement, Modern Kitchen",Active,2025-06-07,544 Sample Street
100159,Detached,1372490,2,3,Toronto,K1A 0B1,"Modern Kitchen, Fireplace, Hardwood, Finished Basement",Pending,2025-06-16,386 Sample Street
100160,Detached,430047,2,1,Toronto,L8P 1A1,"Modern Kitchen, Fireplace, Garage",Active,2025-06-09,334 Sample Street
100161,Detached,822014,4,3,Hamilton,M5H 2N2,"Deck, Finished Basement, Garage",Sold,2025-06-14,212 Sample Street
100162,Condo,911949,1,4,Ottawa,L6T 1R2,"Modern Kitchen, Backyard, Fireplace",Active,2025-06-04,505 Sample Street
100163,Townhouse,501294,2,1,Ottawa,K1A 0B1,"Modern Kitchen, Garage, Deck",Active,2025-06-10,379 Sample Street
100164,Detached,488182,1,1,Toronto,M5H 2N2,"Garage, Backyard, Finished Basement, Fireplace",Pending,2025-06-05,397 Sample Street
100165,Semi-Detached,1105491,5,1,Mississauga,L5B 3Y3,"Garage, Pool",Sold,2025-06-04,589 Sample Street
100166,Townhouse,1169721,4,4,Mississauga,L5B 3Y3,"Hardwood, Pool",Sold,2025-06-16,163 Sample Street
100167,Condo,654177,5,3,Hamilton,K1A 0B1,"Deck, Garage, Pool",Sold,2025-06-01,703 Sample Street
100168,Townhouse,456109,3,1,Ottawa,L6T 1R2,"Modern Kitchen, Pool, Hardwood, Finished Basement",Sold,2025-06-07,179 Sample Street
100169,Condo,1093368,4,2,Ottawa,L8P 1A1,"Modern Kitchen, Deck, Hardwood, Fireplace",Pending,2025-06-17,249 Sample Street
100170,Detached,426894,1,1,Mississauga,L6T 1R2,"Pool, Hardwood",Pending,2025-06-05,334 Sample Street
100171,Townhouse,688492,5,3,Ottawa,M5H 2N2,"Fireplace, Backyard",Pending,2025-06-09,261 Sample Street
100172,Townhouse,892469,2,1,Brampton,K1A 0B1,"Deck, Garage, Backyard, Pool",Active,2025-06-12,900 Sample Street
100173,Semi-Detached,892996,5,1,Mississauga,K1A 0B1,"Fireplace, Garage",Sold,2025-06-06,773 Sample Street
100174,Townhouse,1071401,3,3,Mississauga,M5H 2N2,"Modern Kitchen, Finished Basement, Fireplace, Backyard",Pending,2025-06-15,394 Sample Street
100175,Detached,963475,4,1,Toronto,L6T 1R2,"Backyard, Fireplace, Modern Kitchen, Deck",Sold,2025-06-05,759 Sample Street
100176,Townhouse,424585,5,2,Mississauga,M5H 2N2,"Deck, Garage, Hardwood, Finished Basement",Pending,2025-06-16,787 Sample Street
100177,Townhouse,1237737,2,4,Hamilton,K1A 0B1,"Modern Kitchen, Deck",Pending,2025-06-11,204 Sample Street
100178,Detached,1313831,1,4,Toronto,K1A 0B1,"Deck, Garage, Pool",Active,2025-06-07,531 Sample Street
100179,Townhouse,658404,5,1,Toronto,L6T 1R2,"Garage, Hardwood",Active,2025-06-18,828 Sample Street
100180,Townhouse,995408,1,2,Toronto,L6T 1R2,"Pool, Deck",Sold,2025-06-13,532 Sample Street
100181,Detached,922853,1,4,Toronto,K1A 0B1,"Pool, Modern Kitchen",Active,2025-06-03,367 Sample Street
100182,Semi-Detached,406596,2,2,Hamilton,K1A 0B1,"Finished Basement, Backyard, Deck",Sold,2025-06-03,611 Sample Street
100183,Detached,921397,4,1,Hamilton,L6T 1R2,"Hardwood, Fireplace, Pool",Active,2025-06-13,948 Sample Street
100184,Townhouse,457976,4,2,Hamilton,L8P 1A1,"Hardwood, Fireplace, Pool",Sold,2025-06-03,388 Sample Street
100185,Semi-Detached,397574,3,2,Mississauga,K1A 0B1,"Pool, Deck, Modern Kitchen, Backyard",Sold,2025-06-02,403 Sample Street
100186,Condo,698537,5,3,Ottawa,M5H 2N2,"Garage, Hardwood, Deck",Sold,2025-06-11,699 Sample Street
100187,Detached,654441,4,1,Brampton,K1A 0B1,"Garage, Fireplace",Pending,2025-06-05,120 Sample Street
100188,Semi-Detached,369546,1,4,Ottawa,L5B 3Y3,"Hardwood, Garage",Active,2025-06-16,835 Sample Street
100189,Townhouse,423735,1,1,Brampton,K1A 0B1,"Pool, Modern Kitchen, Deck",Sold,2025-06-08,190 Sample Street
100190,Detached,1388392,5,4,Hamilton,L8P 1A1,"Garage, Pool, Hardwood",Pending,2025-06-02,267 Sample Street
100191,Condo,1464935,2,2,Toronto,K1A 0B1,"Finished Basement, Garage, Modern Kitchen",Active,2025-06-07,281 Sample Street
100192,Condo,547170,4,3,Mississauga,L8P 1A1,"Pool, Finished Basement, Garage",Sold,2025-06-13,570 Sample Street
100193,Condo,1000582,3,1,Brampton,L5B 3Y3,"Pool, Garage, Finished Basement, Fireplace",Active,2025-06-09,305 Sample Street
100194,Townhouse,1006089,5,1,Brampton,L6T 1R2,"Modern Kitchen, Hardwood",Pending,2025-06-05,788 Sample Street
100195,Condo,1095408,5,1,Hamilton,L5B 3Y3,"Finished Basement, Modern Kitchen, Hardwood, Fireplace",Sold,2025-06-02,417 Sample Street
100196,Semi-Detached,687963,1,3,Toronto,L6T 1R2,"Pool, Garage, Fireplace",Pending,2025-06-13,855 Sample Street
100197,Condo,1235277,5,3,Toronto,L5B 3Y3,"Pool, Finished Basement, Garage, Fireplace",Sold,2025-06-06,537 Sample Street
100198,Detached,1419788,1,2,Brampton,K1A 0B1,"Deck, Modern Kitchen, Hardwood, Fireplace",Sold,2025-06-08,146 Sample Street
100199,Detached,1386627,4,3,Toronto,K1A 0B1,"Hardwood, Garage, Pool",Active,2025-06-18,662 Sample Street
